"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0022407","regulation of cell-cell adhesion","130/1012","491/18614",1.61974317145648e-54,8.6081987093951e-52,3.86258371604742e-52,"CD4/IL1B/IL2/IL6/IL10/TNF/VEGFA/EPO/NLRP3/PYCARD/IL1RN/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNL1/IFNG/IFNA2/CTLA4/PTPN22/FGB/IL4/CCL2/TGFB1/ADIPOQ/CD274/VCAM1/EBI3/IDO1/SELE/MIR21/IGF1/IL18/IL1A/CD80/AIF1/CCL19/SFTPD/IFNB1/IL7/IL15/CCR7/ASS1/APOA1/SERPINF2/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/MAPK14/SELP/ELANE/RHOA/CCL5/THY1/PTPRC/CD27/CD70/F11R/CASP3/FOXP3/RUNX1/KLRK1/CD47/CX3CL1/MBP/CCL21/HLA-A/HLA-DRB1/JAK1/CD86/PLAUR/PTK2/SRC/AKT1/IL21/ITGB2/ALOX5/NOTCH1/CXCL12/ANXA1/IL2RA/IL23A/AGER/TBX21/CD44/LAG3/HAVCR2/NOTCH4/MIR146A/MIR31/DOCK8/HLA-DQA1/TYK2/HMGB1/CAV1/TJP1/TIGIT/LGALS1/LGALS3/LGALS9/CD9/PDCD1LG2/PRNP/SYK/MIR221/AP3B1/B2M/CD81/IRF1/CD46/PLA2G2A/FCGR2B/GP1BA/ICOSLG/BCL6/SOCS1/ERBB2/ITCH/PPARA/HLA-DOB/PELI1/IL7R/HLA-DQB1/CCL28/CTSG/PDE5A",130
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","112/1012","378/18614",2.50312750077356e-52,1.21944028079352e-49,5.47174888765588e-50,"CD4/IL1B/IL2/IL6/IL10/TNF/EPO/NLRP3/PYCARD/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNL1/IFNG/IFNA2/CTLA4/PTPN22/IL4/CCL2/CD274/VCAM1/EBI3/IDO1/SELE/MIR21/IGF1/IL18/IL1A/CD80/AIF1/CCL19/SFTPD/IFNB1/IL7/IL15/CCR7/ASS1/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/SELP/ELANE/RHOA/CCL5/THY1/PTPRC/CD27/CD70/CASP3/FOXP3/RUNX1/KLRK1/CD47/CCL21/HLA-A/HLA-DRB1/CD86/SRC/AKT1/IL21/ITGB2/ALOX5/CXCL12/ANXA1/IL2RA/IL23A/AGER/TBX21/CD44/LAG3/HAVCR2/MIR146A/MIR31/DOCK8/HLA-DQA1/TYK2/HMGB1/CAV1/TIGIT/LGALS1/LGALS3/LGALS9/PDCD1LG2/PRNP/SYK/MIR221/AP3B1/B2M/CD81/IRF1/CD46/PLA2G2A/FCGR2B/GP1BA/ICOSLG/BCL6/SOCS1/ERBB2/ITCH/PPARA/HLA-DOB/PELI1/IL7R/HLA-DQB1/CCL28/CTSG/PDE5A",112
"BP","GO:0050867","positive regulation of cell activation","113/1012","394/18614",3.47149628962958e-51,1.56110517762881e-48,7.00483299899344e-49,"CD4/ITGAM/TLR4/IL1B/IL2/IL6/IL10/TNF/EPO/NLRP3/PYCARD/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNG/PTPN22/GAS6/AXL/IL4/CCL2/TGFB1/CD274/VCAM1/EBI3/MIR21/IGF1/TREM2/IL18/IL1A/FCGR3A/CD80/CCL3/AIF1/CCL19/CD38/IL7/IL15RA/IL15/CCR7/IL13/IL5/LBP/MMP8/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/MIR145/SELP/RHOA/CCL5/THY1/PTPRC/CD27/CD70/FOXP3/RUNX1/KLRC2/KLRK1/CD47/CCL21/TLR6/HLA-A/HLA-DRB1/CD86/BTK/SRC/AKT1/IL21/ITGB2/ANXA1/IL2RA/PLEK/IL33/IL23A/AGER/MIF/LAMP1/TBX21/HAVCR2/DOCK8/HLA-DQA1/TYK2/HMGB1/CAV1/CDKN1A/HAMP/LGALS1/LGALS9/PDCD1LG2/CLEC7A/SYK/TLR9/F2RL1/AP3B1/B2M/CD81/CD46/TSLP/GP1BA/ICOSLG/BCL6/SOCS1/HLA-DOB/PELI1/PDGFRB/PRKDC/IL7R/HLA-DQB1",113
"BP","GO:0002696","positive regulation of leukocyte activation","109/1012","377/18614",9.50192768871015e-50,3.96773351915711e-47,1.7803611879899e-47,"CD4/ITGAM/TLR4/IL1B/IL2/IL6/IL10/TNF/EPO/NLRP3/PYCARD/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNG/PTPN22/GAS6/AXL/IL4/CCL2/TGFB1/CD274/VCAM1/EBI3/MIR21/IGF1/TREM2/IL18/IL1A/FCGR3A/CD80/CCL3/AIF1/CCL19/CD38/IL7/IL15RA/IL15/CCR7/IL13/IL5/LBP/MMP8/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/MIR145/RHOA/CCL5/THY1/PTPRC/CD27/CD70/FOXP3/RUNX1/KLRC2/KLRK1/CD47/CCL21/TLR6/HLA-A/HLA-DRB1/CD86/BTK/SRC/AKT1/IL21/ITGB2/ANXA1/IL2RA/IL33/IL23A/AGER/MIF/LAMP1/TBX21/HAVCR2/DOCK8/HLA-DQA1/TYK2/HMGB1/CAV1/CDKN1A/HAMP/LGALS1/LGALS9/PDCD1LG2/CLEC7A/SYK/TLR9/F2RL1/AP3B1/B2M/CD81/CD46/TSLP/ICOSLG/BCL6/SOCS1/HLA-DOB/PELI1/PRKDC/IL7R/HLA-DQB1",109
"BP","GO:0060326","cell chemotaxis","99/1012","312/18614",2.84594800861768e-49,1.10916080389193e-46,4.97691399121071e-47,"IL1B/IL6/CXCL8/IL10/VEGFA/CSF1/ARRB2/DPP4/KIT/GAS6/IL4/CXCL10/CCL2/VCAM1/ADAM17/MMP2/HGF/CXCR4/CCL11/DNM1L/CCL18/CCL4/RARRES2/CXCL9/CCL3/AIF1/KDR/CCL19/NRP1/SFTPD/CCR7/S100A8/S100A9/LBP/BSG/PF4/NOD2/CD74/TNFSF11/MIR424/EDN1/MIR34A/CCL5/SERPINE1/C5AR1/CALCA/CXCL16/CXCR2/KLRK1/FLT1/FGF2/CCR5/CX3CR1/CX3CL1/F7/CCL21/IL16/PTK2/ITGB2/ALOX5/NOTCH1/CCL26/CXCL12/TAFA4/CCL1/ANXA1/IL23A/CXCL11/SAA1/MIF/S100A12/FGF4/IL6R/VEGFD/AGTR1/CXCR5/CCR6/BCAR1/HMGB1/PDGFRA/LGALS3/LGALS9/SYK/F2RL1/LYST/MCU/SLC8B1/ADAM10/CCL23/CXCL1/CCL27/CSF1R/CCL17/PDGFRB/PLA2G7/CCL20/CCL28/C5/CTSG",99
"BP","GO:0032102","negative regulation of response to external stimulus","117/1012","446/18614",1.51136216991248e-48,5.52213952831772e-46,2.47783850488283e-46,"INS/IL2/IL10/TNF/NLRP3/SLC6A3/LEP/TNFRSF1A/IL12B/A2M/NFKB1/APOE/ARRB2/ADA/DPP4/PTPN22/FGB/VTN/TYRO3/IL4/CCL2/TGFB1/ADIPOQ/MIR195/CDH5/ANGPT2/MIR21/IGF1/WNT3/HGF/PARP1/TREM2/PPARG/AIF1/GPX1/FURIN/NRP1/IL13/TRIM21/APOA1/SERPINF2/NOD2/F2/PTGIS/MAPK14/MIR145/MIR424/MIR20A/SERPING1/PROS1/ELANE/EDN1/MIR34A/SERPINE1/NT5E/PTPRC/CD34/SOCS3/FOXP3/MEFV/CD200/KLRC1/KLRK1/TEK/FGF2/CX3CL1/MIR126/HLA-A/HLA-DRB1/NR1H2/PLAU/PLAUR/SRC/ALOX5/SOD1/NOTCH1/MMP12/IL2RA/SAA1/ABCC8/MIF/HAVCR2/MIR146A/MIR31/ELF4/THBD/HLA-B/PDGFRA/BACE1/HAMP/LGALS9/PROC/CD9/SYK/F2RL1/GSTP1/MIR221/GRN/SPP1/OAS1/SMAD3/CD200R1/FCGR2B/GP1BA/APCS/PLAT/ITCH/PPARA/PLA2G10/ANXA2/IFI16/DHX58/CST7/KNG1/ISG15/C5/RB1",117
"BP","GO:0032943","mononuclear cell proliferation","98/1012","313/18614",3.47350741114902e-48,1.19447790150454e-45,5.35974022822499e-46,"TLR4/IL1B/IL2/IL6/IL10/EPO/PYCARD/CD19/CRP/LEP/CD28/IL12B/CSF1/KITLG/ADA/IFNA2/IFNA1/CTLA4/PTPN22/CTNNB1/IL4/CD274/VCAM1/IFNA21/TNFRSF13B/EBI3/IDO1/MIR21/IGF1/AHR/IL18/IL1A/FCGR3A/CD80/AIF1/CCL19/SFTPD/IFNB1/CD38/IL7/IL15/CD79A/IL13/IL5/CD40LG/CR2/CD74/ACE/CCL5/PTPRC/CD70/CASP3/FOXP3/HLA-A/HLA-DRB1/CD86/BTK/IL21/CD22/ANXA1/IL2RA/IL23A/AGER/MIF/HAVCR2/ATM/DOCK8/ELF4/TYK2/TP53/IL27/HMGB1/CDKN1A/LGALS3/LGALS9/PDCD1LG2/IMPDH2/PRNP/SYK/TLR9/CD81/IRF1/MSN/CD46/P2RX7/PLA2G2A/RPS6/IFNA17/FCGR2B/ICOSLG/RIPK3/TNFRSF9/BCL6/ERBB2/ITCH/PELI1/IL7R/PDE5A",98
"BP","GO:0070663","regulation of leukocyte proliferation","91/1012","268/18614",3.92109806422985e-48,1.27348551574932e-45,5.71425519067882e-46,"TLR4/IL1B/IL2/IL6/IL10/EPO/CSF2/PYCARD/CRP/LEP/CD28/IL12B/CSF1/KITLG/ADA/CTLA4/PTPN22/KIT/NF1/CTNNB1/IL4/CD274/VCAM1/TNFRSF13B/EBI3/IDO1/MIR21/IGF1/AHR/IL18/IL1A/FCGR3A/CD80/AIF1/CCL19/SFTPD/PTH/CD38/IL7/IL15/IL13/IL5/CD40LG/CD74/BST2/CCL5/PTPRC/CD70/CASP3/FOXP3/HLA-A/HLA-DRB1/CD86/BTK/PTK2/IL21/CD22/ANXA1/IL2RA/IL33/IL23A/AGER/MIF/HAVCR2/ATM/TYK2/IL27/HMGB1/CDKN1A/LGALS3/LGALS9/PDCD1LG2/PRNP/SYK/TLR9/GSTP1/HHEX/CD81/IRF1/CD46/PLA2G2A/FCGR2B/ICOSLG/CSF1R/RIPK3/TNFRSF9/BCL6/ERBB2/ITCH/PELI1/PDE5A",91
"BP","GO:0031349","positive regulation of defense response","115/1012","441/18614",2.00907846564653e-47,6.18161721587874e-45,2.77375265174025e-45,"APP/TXK/TLR4/IL1B/IL2/IL6/TNF/LTA/NLRP3/PYCARD/TNFRSF1A/CD28/SNCA/AGT/IL12B/ARRB2/MIR17/IFNG/PTPN22/FCGR1A/EP300/TYRO3/IL17A/TLR2/IFIH1/IDO1/C3/MIR21/FABP4/TREM2/IL18/CCL3/MBL2/CASP1/IFNB1/IL15/CCR7/EREG/S100A8/S100A9/SARM1/LBP/MMP8/NOD2/TNFSF11/ACE/CCL5/SERPINE1/MEFV/KLRC2/KLRK1/CD47/CX3CL1/MIR126/RIGI/TLR3/TLR7/TLR8/TLR1/TLR5/TLR6/NOD1/IL16/BTK/SRC/IL21/ITGA2/HPX/CCL1/MMP12/IRF3/IL33/IL23A/LAMP1/S100A12/LAG3/HAVCR2/MIR146A/FCN3/AGTR1/PTGS2/HMGB1/CAV1/LGALS1/AIM2/CGAS/STING1/CASP4/CD14/SH2D1B/CLEC7A/SYK/TLR9/F2RL1/NEAT1/GRN/AP3B1/CD81/CLOCK/IRF1/OAS1/PLA2G2A/TSLP/NCR3/ITCH/XIAP/OSM/IRAK4/IFI16/PELI1/DHX58/ZBP1/FCN1/PRKDC/PLA2G7",115
"BP","GO:0050863","regulation of T cell activation","106/1012","377/18614",4.29888725098814e-47,1.25656474346383e-44,5.63833001550655e-45,"CD4/IL1B/IL2/IL6/IL10/EPO/NLRP3/PYCARD/LEP/CD28/IL12B/KITLG/ADA/DPP4/IFNL1/IFNG/IFNA2/CTLA4/PTPN22/CTNNB1/IL4/CCL2/CD274/VCAM1/EBI3/IDO1/MIR21/IGF1/JUNB/IL18/IL1A/CD80/AIF1/CCL19/SFTPD/IFNB1/IL7/IL15/CCR7/NOD2/CD40LG/CD74/HLA-DRA/TNFSF11/RHOA/CCL5/THY1/PTPRC/CD27/CD70/CASP3/FOXP3/RUNX1/KLRK1/CD47/CCL21/HLA-A/HLA-DRB1/CD86/SRC/AKT1/IL21/SOD1/ANXA1/IL2RA/IL23A/AGER/TBX21/LAG3/HAVCR2/DOCK8/HLA-DQA1/TYK2/IL27/HMGB1/CAV1/TIGIT/LGALS1/LGALS3/LGALS9/PDCD1LG2/CGAS/PRNP/SYK/AP3B1/B2M/CD81/SIT1/BRAF/IRF1/CD46/PLA2G2A/FCGR2B/ICOSLG/RIPK3/TNFRSF9/BCL6/SOCS1/ERBB2/ITCH/HLA-DOB/PELI1/IL7R/HLA-DQB1/CTSG/PDE5A",106
